candidate_id,rank,score,reasoning
CAND_0011162,42,0.754,"5.8y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (upGrad, Meesho). Concerns: 90d notice."
CAND_0096104,43,0.748,"7.0y AI Specialist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Yellow.ai, Paytm). Availability moderate (response rate 33%, notice 30d)."
CAND_0015967,44,0.742,"5.4y Senior Software Engineer (ML) with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Razorpay, CRED). Availability moderate (response rate 45%, notice 30d)."
CAND_0079064,45,0.736,"5.2y Senior Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Niramai, Razorpay). Concerns: 120d notice."
CAND_0080766,46,0.73,"8.8y Staff Machine Learning Engineer with vector DB/hybrid search, ranking/retrieval systems, LLM/RAG experience at product companies (Salesforce, Aganitha). Availability moderate (response rate 66%, notice 0d)."
CAND_0029367,47,0.724,"5.7y Senior Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Rephrase.ai, CRED). Concerns: 90d notice."
CAND_0067866,48,0.718,"6.4y Senior Software Engineer (ML) with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Freshworks, Paytm). Active and responsive (79% reply rate, 45d notice, open to work)."
CAND_0039383,49,0.712,"7.1y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Meesho, Swiggy). Concerns: 90d notice; inactive 102d."
CAND_0042029,50,0.706,"6.5y Senior Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Flipkart, Observe.AI). Availability moderate (response rate 67%, notice 45d)."
CAND_0066376,51,0.7,"5.7y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Dream11, Salesforce). Concerns: 90d notice."
CAND_0073883,52,0.694,"5.3y AI Specialist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Krutrim, Flipkart). Concerns: 90d notice."
CAND_0072688,53,0.688,"6.9y Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Niramai, PolicyBazaar). Active and responsive (87% reply rate, 45d notice, open to work)."
CAND_0099806,54,0.682,"4.6y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Mad Street Den, upGrad). Active and responsive (76% reply rate, 30d notice, open to work)."
CAND_0094759,55,0.676,"8.6y Lead AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Meta, Apple). Concerns: low response rate (11%); inactive 172d."
CAND_0068932,56,0.67,"5.2y ML Engineer with vector DB/hybrid search, ranking/retrieval systems, LLM/RAG experience at product companies (Krutrim, Vedantu). Active and responsive (82% reply rate, 30d notice, open to work)."
CAND_0027801,57,0.664,"7.4y NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (InMobi, Zoho). Concerns: 120d notice."
CAND_0044855,58,0.658,"6.6y Senior Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Flipkart, LinkedIn). Availability moderate (response rate 56%, notice 60d)."
CAND_0052682,59,0.652,"6.6y NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Aganitha, Salesforce). Concerns: inactive 93d."
CAND_0073504,60,0.646,"6.6y Junior ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (PolicyBazaar, PolicyBazaar). Active and responsive (78% reply rate, 60d notice, open to work)."
CAND_0083852,61,0.64,"6.0y Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Mad Street Den, Dream11). Concerns: 90d notice."
CAND_0058575,62,0.634,"5.8y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Krutrim, Aganitha). Concerns: 90d notice."
CAND_0054123,63,0.628,"4.7y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Meta, CRED). Availability moderate (response rate 87%, notice 60d)."
CAND_0004402,64,0.622,"6.0y AI Research Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Yellow.ai, Zomato). Active and responsive (83% reply rate, 60d notice, open to work)."
CAND_0095528,65,0.616,"5.3y Senior Data Scientist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Netflix, Adobe). Active and responsive (55% reply rate, 45d notice, open to work)."
CAND_0064904,66,0.61,"4.9y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (LinkedIn, Freshworks). Concerns: 90d notice; inactive 104d."
CAND_0069905,67,0.604,"6.6y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Sarvam AI, Nykaa). Concerns: 90d notice."
CAND_0025882,68,0.598,"5.6y Senior Software Engineer (ML) with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Freshworks, Flipkart). Active and responsive (79% reply rate, 45d notice, open to work)."
CAND_0067717,69,0.592,"6.9y AI Specialist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Aganitha, BYJU'S). Availability moderate (response rate 39%, notice 60d)."
CAND_0044222,70,0.586,"7.7y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (PolicyBazaar, InMobi). Active and responsive (60% reply rate, 60d notice, open to work)."
CAND_0062247,71,0.58,"7.3y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Google, Dream11). Active and responsive (78% reply rate, 30d notice, open to work)."
CAND_0083879,72,0.574,"7.1y Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, LLM/RAG experience at product companies (Ola, PhonePe). Availability moderate (response rate 47%, notice 30d)."
CAND_0053591,73,0.568,"5.3y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Ola, Swiggy). Active and responsive (81% reply rate, 60d notice, open to work)."
CAND_0049538,74,0.562,"5.8y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Saarthi.ai, PolicyBazaar). Availability moderate (response rate 72%, notice 30d)."
CAND_0037980,75,0.556,"9.0y Senior Applied Scientist with vector DB/hybrid search, ranking/retrieval systems, LLM/RAG experience at product companies (Niramai, Verloop.io). Concerns: inactive 93d."
CAND_0061265,76,0.55,"6.6y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Zoho, Observe.AI). Concerns: 120d notice; inactive 96d."
CAND_0045250,77,0.544,"6.6y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Rephrase.ai, Paytm). Availability moderate (response rate 74%, notice 15d)."
CAND_0076251,78,0.538,"7.6y Search Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Haptik, CRED). Active and responsive (51% reply rate, 60d notice, open to work)."
CAND_0074735,79,0.532,"5.5y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Rephrase.ai, Rephrase.ai). Concerns: 90d notice; inactive 93d."
CAND_0040117,80,0.526,"6.5y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (PhonePe, Salesforce). Concerns: inactive 104d."
CAND_0051292,81,0.52,"5.2y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Freshworks, Vedantu). Active and responsive (52% reply rate, 30d notice, open to work)."
CAND_0053695,82,0.514,"5.8y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Meesho, Genpact AI). Active and responsive (60% reply rate, 15d notice, open to work)."
CAND_0099401,83,0.508,"7.7y NLP Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Dream11, Genpact AI). Concerns: 90d notice."
CAND_0068351,84,0.502,"6.4y Lead AI Engineer with vector DB/hybrid search, ranking/retrieval systems, LLM/RAG experience at product companies (Sarvam AI, Verloop.io). Availability moderate (response rate 86%, notice 0d)."
CAND_0058688,85,0.496,"6.7y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Vedantu, Apple). Concerns: inactive 93d."
CAND_0036184,86,0.49,"6.0y Recommendation Systems Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (CRED, PolicyBazaar). Active and responsive (90% reply rate, 30d notice, open to work)."
CAND_0069638,87,0.484,"6.2y Computer Vision Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Swiggy, Zomato). Active and responsive (64% reply rate, 30d notice, open to work)."
CAND_0065786,88,0.478,"4.9y AI Specialist with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Swiggy, PhonePe). Active and responsive (89% reply rate, 45d notice, open to work)."
CAND_0096142,89,0.472,"5.0y Applied ML Engineer with vector DB/hybrid search, ranking/retrieval systems, LLM/RAG experience at product companies (upGrad, BYJU'S). Concerns: 120d notice."
CAND_0070398,90,0.466,"7.2y Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Genpact AI, Uber). Concerns: 120d notice."
CAND_0007596,91,0.46,"4.4y Junior ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Flipkart, Meesho). Active and responsive (86% reply rate, 45d notice, open to work)."
CAND_0074225,92,0.454,"4.3y Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Unacademy, Mad Street Den). Concerns: 120d notice."
CAND_0020350,93,0.448,"5.8y AI Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Zoho, InMobi). Active and responsive (57% reply rate, 30d notice, open to work)."
CAND_0093883,94,0.442,"5.0y AI Research Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Wysa, PharmEasy). Active and responsive (56% reply rate, 60d notice, open to work)."
CAND_0032515,95,0.436,"5.1y Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (PharmEasy, Razorpay). Availability moderate (response rate 54%, notice 45d)."
CAND_0081480,96,0.43,"5.6y Computer Vision Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Sarvam AI, Unacademy). Concerns: inactive 91d."
CAND_0064888,97,0.424,"5.8y ML Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Verloop.io, Nykaa). Active and responsive (92% reply rate, 30d notice, open to work)."
CAND_0006418,98,0.418,"5.7y Machine Learning Engineer with embeddings/semantic search, vector DB/hybrid search, ranking/retrieval systems experience at product companies (Verloop.io, Flipkart). Active and responsive (92% reply rate, 60d notice, open to work)."
CAND_0016163,99,0.412,"6.7y Applied ML Engineer with embeddings/semantic search, vector DB/hybrid search, LLM/RAG experience at product companies (Dream11, Verloop.io). Concerns: 120d notice."
CAND_0017960,100,0.406,"7.7y Recommendation Systems Engineer with vector DB/hybrid search, ranking/retrieval systems, LLM/RAG experience at product companies (Nykaa, Wysa). Active and responsive (72% reply rate, 60d notice, open to work)."
